AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ
-487,-2185,4705,-1558,234,90,63,262,-3
43,-2350,4282,-855,-171,-129,153,150,93
-156,-2617,4246,-672,-123,-83,281,6,17
232,-2533,3697,-532,-168,-81,388,-58,-186
,,,,,,,,
-331,-3020,3939,-611,-394,-55,485,-19,-408
120,174,4020,51,-17,-35,-77,123,-137
-540,232,4382,886,-23,-949,-56,111,-162
-736,325,4476,1075,-182,-923,-51,107,-173
-419,877,4182,1272,182,-555,-39,94,-208
-1108,560,3636,1222,352,-372,-32,55,-236
-1145,1741,2271,1041,272,-206,-6,-4,-249
-744,2303,2025,688,-466,3,10,-72,-238
-629,2991,1773,14,-22,142,0,-123,-241
-365,2923,2348,-765,-415,129,-10,-144,-238
-121,2059,2584,-1227,-208,51,-30,-116,-250
-14,1297,2937,-1449,-306,-145,-43,-49,-268
100,-71,3500,-1652,-372,-212,-53,23,-270
282,-475,4091,-1854,30,-71,-51,132,-239
-201,-1164,4379,-1665,-49,-154,-26,225,-174
5,-1792,4540,-1428,-112,24,21,273,-56
204,-2194,4355,-1129,-11,23,89,226,56
-621,-2121,3469,-628,-525,-280,184,71,82
221,-2649,4106,-357,1,34,294,-48,-64
206,-2354,3175,-337,-83,-140,365,-69,-260
,,,,,,,,
605,-2939,3791,-45,177,-82,435,-16,-471
124,936,3999,-6,-5,-13,-81,51,-187
511,947,4614,306,166,-604,-76,52,-188
432,1116,4569,313,185,-654,-73,53,-191
-23,1093,4551,470,191,-667,-60,50,-192
-429,1111,3933,774,294,-629,-44,47,-215
-777,1299,3601,867,383,-503,-31,23,-231
-952,1777,3128,745,191,-448,0,-10,-240
-1103,2082,2706,608,75,-445,20,-47,-237
-1426,2115,2612,358,-91,-147,29,-78,-229
-1045,2477,2073,-240,-211,173,36,-97,-226
-408,2390,2363,-1026,-536,0,31,-100,-233
-597,1265,2446,-1630,-768,-106,2,-64,-251
189,931,3282,-1794,-356,69,-15,22,-271
283,-286,3954,-1590,-219,-75,-34,131,-251
-666,-1232,4373,-1643,-102,225,-25,227,-198
165,-1810,4335,-1764,-713,-147,12,281,-117
391,-2103,4138,-1278,-158,-231,84,257,-41
892,-2774,4426,-999,-116,-182,172,196,-54
405,-2755,3639,-611,180,-43,262,202,-205
,,,,,,,,
